"","Statute","Type","Degree","Desc"
"1283","316.1936(2)(B)","I","0","ALCOHOL/OPEN CONTAIN VEHICLE/STOPPED/DRIVER"
"1284","316.1939","M","1","DUI/DWI/REFUSAL TO TEST AFTER LIC SUSPENSION"
"1285","316.1939","T","0","DUI/DWI/REFUSAL TO TEST AFTER LIC SUSPENSION"
"1286","316.1939(1)","M","1","DUI/DWI/TESTING/2ND OR SUBSEQUEST REFUSAL"
"1287","316.1939(1)","T","0","DUI/DWI/TESTING/2ND OR SUBSEQUENT REFUSAL"
"1288","316.1939(1)(E)","M","1","DUI/DWI/TESTING/2ND OR SUBSEQUENT REFUSAL"
"1289","316.1939(1)(E)","T","0","DUI/DWI/TESTING/2ND OR SUBSEQUENT REFUSAL"
"1290","316.194","I","0","VEHICLE/STOP/STAND/PARK OUTSIDE MUNICIPALITY"
"1291","316.1945(1)(A)","I","0","STOP/STAND/PARK VEHICLE/PROHIBITED"
"1292","316.1945(1)(A)10","I","0","VEHICLE/IMPROPER/NO PARKING"
"1293","316.1945(1)(B)","I","0","VEHICLE/STOPPING/STANDING/PARKING/PROHIBITED"
"1294","316.195","I","0","VEHICLE/PARKING REGULATION/VIOLATION"
"1295","316.1955(1)","I","0","PARKING VIOLATIION/DISABILITIES"
"1296","316.1975","I","0","UNATTENDED MOTOR VEHICLE"
"1297","316.1985","I","0","IMPROPER BACKING UP"
"1298","316.1995","I","0","VEHICLE/DRIVE ON SIDEWALK/BIKE PATH"
"1299","316.2005","I","0","VEHICLE DOORS/OPENING AND CLOSING"
"1300","316.2015","I","0","VEHICLE/RIDE ON EXTERIOR"
"1301","316.2034","I","0","CROSSING FIRE HOSE"
"1302","316.2035(4)","T","0","UNLAW SOLID/AIRLESS-TYPE TIRES"
"1303","316.2045(1)","I","0","OBSTRUCTING TRAFFIC/PUBLIC STREETS/HIGHWAYS/ROADS"
"1304","316.2045(2)","M","2","OBSTRUCTING TRAFFIC/SOLICI W/O PERMIT/PEDESTRIAN"
"1305","316.2045(2)","T","0","OBSTRUCTING TRAFFIC/SOLICIT W/O PERMIT"
"1306","316.2051","I","0","DRIVE ON RIMS/STEEL TIRES/UNLAWFUL"
"1307","316.2061","I","0","TRAFFIC/FAILING TO STOP WHEN OBSTRUCTION"
"1308","316.2074(5)","I","0","IMPROPER OPERATION ON PUB RD/ST"
"1309","316.209(2)","I","0","OPERATING MOTORCYCLES ON ROADWAYS LANED FOR TRAFFI"
"1310","316.211","I","0","MOTORCYCLE EQUIPMENT VIOLATION"
"1311","316.2123","I","0","ATV/IMPROPER OPERATION ON CERTAIN ROADWAYS"
"1312","316.215","I","0","DEFECTIVE EQUIPMENT"
"1313","316.217(1)","I","0","DRIVING WITHOUT HEADLIGHTS"
"1314","316.220(1)","T","0","HEADLAMPS ON MOTOR VEHICLES"
"1315","316.221","I","0","VEHICLE TAILLAMP VIOLATION"
"1316","316.234(1)","I","0","TRAFFIC/VEHICLE STOP LAMP TINTED"
"1317","316.238(1)(A)","I","0","IMPROPER USE OF HIGH BEAM"
"1318","316.238(1)(B)","I","0","IMPROPER USE OF HIGH BEAM/300FT REAR"
"1319","316.2397","I","0","VEHICLE LIGHTS/BLUE/RED PROHIBITED"
"1320","316.2398","I","0","EMERGENCY EQUIPMENT/VIOLATION"
"1321","316.2398(2)","I","0","UNLAWFUL DISPLAY RED FLASH LIGHT"
"1322","316.2398(3)","I","0","UNLAWFUL USE RED LIGHT BY FIREMAN"
"1323","316.2398(4)","I","0","UNLAWFUL USE RED LIGHT BY MEDICAL"
"1324","316.271","I","0","HORN/WARNING DEVICE"
"1325","316.2935(1)(A)","M","2","SELL/LEASE MOTOR VEH W/TAMPERED POLLUTION CONTROL"
"1326","316.2935(1)(A)","T","0","SELL/LEASE MOTOR VEH W/TAMPERED POLLUTION CONTROL"
"1327","316.2935(1)(B)","M","2","VEHICLE/FALSE CERTIFICATE OF POLLUTION CONTROL"
"1328","316.2935(1)(B)","T","0","VEHICLE/FALSE CERTIFICATE OF POLLUTION CONTROL"
"1329","316.2935(5)(B)","M","1","HEALTH-SAFETY TAMPER WITH POLLUTION CONTROL DEVICE"
"1330","316.2952(2)","I","0","VEHICLE WINDSHIELD/COVERING MATERIAL VIOLATION"
"1331","316.2953","I","0","VEHICLE SIDE WINDOWS/SUNSCREENING RESTRICTIONS"
"1332","316.2954","I","0","WINDOWS BEHIND DRIVER TINTED"
"1333","316.2956(1)","I","0","ILLEGAL SUNSCREENING/OPERATE VEHICLE"
"1334","316.302(11)","M","1","COMMERCIAL VEHICLE/BEARS FALSE ID/7/16"
"1335","316.302(11)","T","0","COMMERCIAL VEHICLE/BEARS FALSE ID/7/16"
"1336","316.302(12)","M","1","COMMERCIAL VEH BEARS FALSE ID NUMBER"
"1337","316.302(4)","M","1","HAZARDOUS MATERIAL W/O COMP W/FED REGS/7/16"
"1338","316.302(4)","T","0","HAZARDOUS MATERIAL W/O COMP W/FED REGS/7/16"
"1339","316.302(5)","M","1","HAZARDOUS MATERIAL W/O COMPLY W/FED REGS"
"1340","316.302(8)","I","0","COMMERCIAL VEHICLE/INSPECTION/DRIVERS REC/7/16"
"1341","316.302(8)(B)","M","2","COMMERCIAL VEH/INSPECT/FAILURE TO COMPLY/W/O VLNCE"
"1342","316.302(8)(B)","T","0","COMMERCIAL VEH/INSPECT/FAILURE COMPL/W/O VIO/7/16"
"1343","316.302(9)","M","1","FTC REQUEST FOR INSPECTION OF COM VEH WO VIOL"
"1344","316.302(9)","F","3","FTC REQUEST FOR INSPECTION OF COM VEH W VIOL"
"1345","316.3026(2)","F","3","MOTOR VEHICLE/COMMERCIAL/OUT OF SERVICE ORDER"
"1346","316.3027","I","0","COMMERCIAL VEHICLE/NO REQUIRED IDENTIFICATION"
"1347","316.3045(1)","I","0","VEHICLE/BOOM BOX VIOLATION"
"1348","316.405(1)","T","0","NO MOTORCYCLE HEADLIGHTS"
"1349","316.455","I","0","MOTORCYCLE EQUIPMENT VIOLATION"
"1350","316.520","M","2","LOAD DROP/SHFT/LEAK/BLOW OFF/NOT COVRD/BI/DEATH"
"1351","316.520","T","0","LOAD DROP/SHIFT/LEAK/BLOW OFF/NOT COVERED/INJ/DEAT"
"1352","316.520(1)","M","2","VEHICLE CARGO/SECURING LOAD/INJURY/DEATH"
"1353","316.520(1)","T","0","VEHICLE CARGO/SECURING LOAD/INJURY/DEATH"
"1354","316.520(2)","M","2","VEHICLE CARGO/FAIL TO SECURE/INJURY/DEATH"
"1355","316.520(2)","T","0","VEHICLE CARGO/FAIL TO SECURE/INJURY/DEATH"
"1356","316.520(3)","M","2","VEHICLE CARGO/FAIL TO SECURE/SERIOUS INJURY/DEATH"
"1357","316.520(3)","T","0","VEHICLE CARGO/FAIL TO SECURE/SERIOUS INJURY/DEATH"
"1358","316.520(3)(B)","M","2","VEHICLE CARGO/ESCAPE/CAUSE INJ/DEATH"
"1359","316.520(3)(B)","T","0","VEHICLE CARGO/ESCAPE/CAUSE INJ/DEATH"
"1360","316.525(1)","I","0","IMPROPERLY SECURED LOAD"
"1361","316.545(1)","F","3","VEHICLE WEIGHT OFFICER/RESIST/OBSTRUCT"
"1362","316.545(1)","M","1","RESIST OFFICER REFUSE WEIGHT SAFETY OFFICER"
"1363","316.605","I","0","VEHICLE WITH NO TAG"
"1364","316.610","I","0","VEHICLE/DRIVE WHILE IN UNSAFE CONDITION"
"1365","316.613","I","0","CHILD RESTRAINT VIOLATION"
"1366","316.6135(1)(A)","M","2","MOTOR VEHICLE/CHILD <6 UNATTENDED >15 MINUTES"
"1367","316.6135(1)(A)","T","0","MOTOR VEHICLE/CHILD <6 UNATTENDED >15 MINUTES"
"1368","316.6135(1)(B)","I","0","MOTOR VEHICLE/CHILD <6 UNATTENDED"
"1369","316.6135(4)","F","3","MOTOR VEHICLE/CHILD <6 UNATTENDED/BODILY HARM"
"1370","316.614","I","0","SAFETY BELT/FAILURE TO USE"
"1371","316.614(4)","I","0","SEAT BELT VIOLATION"
"1372","316.646","I","0","INSURANCE/FAIL TO HAVE IN IMMEDIATE POSSESSION"
"1373","316.646(1)","I","0","VEHICLE INSURANCE/NO PROOF"
"1374","316.646(4)","M","1","INSURANCE/PROOF REQUIRED/MISREPPRESENTED"
"1375","316.646(4)","T","0","INSURANCE/PROOF REQUIRED/MISREPRESENTED"
"1376","316.72","M","2","PUBLIC ORDER CRIMES SIMULATE COLOR OF BUS TO RESEM"
"1377","316.80(1)","F","3","VEHICLE/POSN W/ILLEGAL TANK/CONTAINER"
"1378","316.80(2)","F","3","FUEL/OBTAIN FRAUDULENTLY/10/1/16"
"1379","316.80(2)","F","2","FUEL/OBTAIN FRAUDULENTLY"
"1380","317.0009(2)","F","3","VEHICLE/OFFHIGHWAY/CERT OF OWNRSHP/FLS/FRAUDLT"
"1381","317.0012(1)","F","3","VEHICLE/OFFHIGHWAY/PROCURE/PASS/STOLEN TITLE"
"1382","317.0012(2)","F","3","VEHICLE/OFFHIGHWAY/POSS/SELL/FORGE/CERT TITLE"
"1383","317.0012(3)","F","3","VEHICLE/OFFHIGHWAY/FRG/FLS NM/OBT GOODS"
"1384","317.0017","F","3","VEHICLE/OFFHIGHWAY/ID NUMBERS/POSS/SELL USE/ILLEG"
"1385","317.0017(2)","F","3","FRAUD USE INVALID UNLAW ATV DOCS GET GOODS SERVICE"
"1386","317.0017(3)","F","3","FRAUD USE UNLAW ATV TITLE OBTAIN GOODS SERVICES"
"1387","317.0017(4)","F","3","FRAUD POSSESS SELL UNLAWFUL ATV DOCUMENTS"
"1388","317.0017(5)","F","3","FRAUD POSSESS SELL MFGR UNLAWFUL ATV VIN PLATE"
"1389","317.0018(1)","M","2","NONMOVING TRAFFIC VIOL SELL TRANSFER ATV WO GIVING"
"1390","317.0018(2)","M","2","NONMOVING TRAFFIC VIOL OPERATE ATV WITH NO OR CANC"
"1391","317.0018(3)","M","2","NONMOVING TRAFFIC VIOL FAIL SURRENDER ATV TITLE TO"
"1392","317.0018(4)","M","2","NONMOVING TRAFFIC VIOL FAIL SURRENDER TITLE FOR CH"
"1393","317.0018(5)","M","2","NONMOVING TRAFFIC VIOL VIOLATE ATV LAW OR RULE"
"1394","318.14(3)","M","2","REFUSAL TO ACCEPT/SIGN/SUMMONS"
"1395","318.14(3)","T","0","REFUSAL TO SIGN & ACCEPT SUMMONS"
"1396","319.14","M","2","VEHILE/POLICE/CAB/LEASE/SELL/W/O USED STAMP"
"1397","319.14(2)","M","2","REBUILT VEHICLE/UNLAWFUL SALE/EXCHANGE"
"1398","319.14(3)","M","2","FRAUD SELL TAXI POLICE REBUILT CAR WO NOTICE OF US"
"1399","319.14(5)","M","2","FRAUD UNLAWFUL INTENT TO SELL/EXCH VEH OR MOTOR HO"
"1400","319.14(6)","F","3","VEHICLE/REBUILT/REMOVE DECAL W/INTENT"
"1401","319.22(5)","M","1","VEHICLE/TRANSFER TITLE WITH NO PURCHASER NAME"
"1402","319.225(4)","M","2","ODOMETER DISCLOSURE STATEMENT/FAILURE TO COMPLETE"
"1403","319.2250(6)(D)","M","2","FRAUD FAIL TO COMPL ALL DOCS FOR TRANSF OF VEH TIT"
"1404","319.2250(8)","M","2","FRAUD FAIL TO COMPL REQ INFO FOR USED VEH AT AUCT"
"1405","319.24(7)","M","2","PUBLIC ORDER CRIMES FAIL RETURN CERTIFICATE TITLE"
"1406","319.261(9)","M","2","FRAUD-FALSE STATEMENT MISREPRESENT INFO RE TITLE T"
"1407","319.28(2)(B)","F","3","VEHICLE/SOLD/FAIL TO DISCLOSE REPOSSESSED"
"1408","319.30","F","3","VEHICLE/DISMANTLE, DESTROY, CHANGE ID/SALVAGE"
"1409","319.30(2)(B)","F","3","VEHICLE/SELL/TRANS/FALSE AFFIDAVIT"
"1410","319.30(2)(C)","F","3","VEHICLE/INDUCE FALSE ASSERTION ON TITLE"
"1411","319.30(4)","F","3","VEHICLE W/O MANUFACTURER ID(VIN) NUMBER/POSSESSION"
"1412","319.30(5)(A)","F","3","VIN PLATE/POSSESSION, SALE/SALVAGE"
"1413","319.30(5)(B)","F","3","VIN PLATE REMOVED FROM VEHICLE/POSSESSION, SALE"
"1414","319.30(7)(A)","F","3","SECONDARY METAL RECYCLER RECORDS/FAIL TO MAINTAIN"
"1415","319.30(7)(B)","F","3","SECONDARY METAL RECYCLER RECORDS/FAIL TO MAINTAIN"
"1416","319.30(7)(C)","F","3","SECONDARY METAL RECYCLER RECORDS/FAIL TO MAINTAIN"
"1417","319.30(7)(D)","F","3","SECONDARY METAL RECYCLER RECORDS/FAIL TO MAINTAIN"
"1418","319.30(7)(E)","F","3","SECONDARY METAL RECYCLER RECORDS/FAIL TO MAINTAIN"
"1419","319.30(8)(A)","F","3","SALVAGE DEALER/FAIL TO RETURN CERTIFICATE TO STATE"
"1420","319.30(8)(B)","F","3","SALVAGE DEALER/FAIL TO MAINTAIN RECORDS"
"1421","319.33(1)(A)","F","3","VEHICLE TITLE/FORGE, ALTER"
"1422","319.33(1)(B)","F","3","VEHICLE TITLE/FORGED, ALTERED/RETAIN, USE"
"1423","319.33(1)(C)","F","3","STOLEN VEHICLE/PROCURE, PASS TITLE OF"
"1424","319.33(1)(D)","F","3","VEHICLE WITH ALTERED ID/POSSESSION, SALE"
"1425","319.33(1)(E)","F","3","VEHICLE TITLE/FRAUD IN APPLICATION FOR"
"1426","319.33(2)","F","3","VEHICLE TITLE/INVALID/OBTAIN GOODS WITH"
"1427","319.33(3)","F","3","VEHICLE TITLE REQUIRED TO BE SURRENDERED/OBT GOODS"
"1428","319.33(4)","F","3","VEHICLE TITLE/POSSESSION WITH INTENT TO DEFRAUD"
"1429","319.33(5)","F","3","VIN, DECAL/POSSESSION OF COUNTERFEIT"
"1430","319.33(7)(A)","F","3","MOTOR VEHICLE/OPERATE ON STREET W/O ID NUMBER"
"1431","319.33(7)(B)","F","3","VEHICLE IDENTIFICATION MARK/DEFACED/ALTERED"
"1432","319.35","F","3","ODOMETER ALTERING OR TAMPERING/MOTOR VEHICLE"
"1433","320.02(1)","M","2","VEHICLE REGISTRATION/FAILURE TO HAVE"
"1434","320.02(1)","T","0","VEHICLE REGISTRATION/FAILURE TO HAVE"
"1435","320.02(13)(D)","M","2","TRAFFIC OFFENSE DISABLE REMOVE TAMPER UNLOCK IMMOB"
"1436","320.02(4)","M","2","MOTOR VEH REG/FAIL TO NOTIFY DHSMV OF ADDR CHANGE"
"1437","320.02(4)","T","0","MOTOR VEH REG/FAIL TO NOTIFY DHSMV OR ADDR CHANGE"
"1438","320.02(5)C","M","1","ALTER/COUNTERFEITING/FAL AFF/PROOF OF INSURNACE CA"
"1439","320.02(5)C","T","0","ALTER/COUNTERFEITING/FAL AFF/PROOF OF INSURNACE CA"
"1440","320.02(6)","M","2","VEHICLE REGISTRATION/FALSE, FRAUDULENT REPRESENTN"
"1441","320.02(6)","T","0","VEHICLE REGISTRATION/FALSE, FRAUDULENT REPRESENTN"
"1442","320.02(7)","M","1","FRAUD FALSE PROOF ON EXEMPT OF VEHICLE WEIGHT TAX"
"1443","320.0605","I","0","VEHICLE/REGISTRATION CERTIFICATE REQUIRED"
"1444","320.061","M","2","LICENSE/UNLAWFULLY ALTER"
"1445","320.061","T","0","LICENSE/UNLAWFULLY ALTER"
"1446","320.07(1)","I","0","EXPIRED REGISTRATION"
"1447","320.07(3)","I","0","NO TAG OR REGISTRATION"
"1448","320.07(3)(A)","T","0","VEHICLE REGISTRATION/EXPIRED/< 6 MONTHS"
"1449","320.07(3)(B)","M","2","VEHICLE REGISTRATION/EXPIRED MORE THAN 6 MONTHS"
"1450","320.07(3)(B)","T","0","VEHICLE REGISTRATION/EXPIRED MORE THAN 6 MONTHS"
"1451","320.07(3)(C)","M","2","VEHICLE REGISTRATION/EXP OVER 6 MOS/SUBSEQUENT OFF"
"1452","320.07(3)(C)","T","0","VEHICLE REGISTRATION/EXP OVER 6 MOS/SUBSEQUENT OFF"
"1453","320.071","M","2","PUBLIC ORDER CRIMES USE MOBILE HOME VALIDATION STI"
"1454","320.0803","M","2","PUBLIC ORDER CRIMES FAIL TO REGISTER MOPED"
"1455","320.0807","M","2","NONMOVING TRAFFIC VIOL DISPLAY SPECIAL STATE PLATE"
"1456","320.0848(6)","M","1","HANDICAP PERMIT/FALSE STATEMENT IN APPLICATION"
"1457","320.0848(6)","T","0","HANDICAP PERMIT/FALSE STATEMENT IN APPLICATION"
"1458","320.0848(7)","M","2","HANDICAP PERMIT/OBTAIN/USE/UNLAWFULLY"
"1459","320.0848(7)","T","0","HANDICAP PERMIT/OBTAIN/USE/UNLAWFULLY"
"1460","320.0898(5)","M","2","FRAUD OBTAIN SPECIAL TAG"
"1461","320.13","M","2","NONMOVING TRAFFIC VIOL MISUSE DEALER OR MANUFACTUR"
"1462","320.131(3)","N","0","UNLAWFULLY ISSUE/ USE A TEMPORARY TAG"
"1463","320.131(5)","M","1","TEMPORARY TAG MISUSE TO AVOID REGISTERING VEH"
"1464","320.131(5)","T","0","TEMPORARY TAG MISUSE TO AVOID REGISTERING VEH"
"1465","320.131(6)","F","3","TEMPORARY TAG ISSUANCE/FICTITIOUS PERSON"
"1466","320.131(7)","M","2","PUBLIC ORDER CRIMES FAIL TO KEEP RECORD OF TEMPORA"
"1467","320.26","F","3","COUNTERFEIT PLATE/VALIDATION STICKERS ETC"
"1468","320.26(1)(A)","F","3","MOTOR VEHICLE LICENSE/REGISTRATION/COUNTERFEIT"
"1469","320.26(1)(B)","F","3","PLAN CAB CARD /PERMITS/COUNTERFEIT"
"1470","320.261","M","2","VEHICLE/ATTACH REGIS LICENSE PLATE NOT ASSIGNED"
"1471","320.261","T","0","TAG NOT ASSIGNED TO VEHICLE"
"1472","320.27(6)","M","2","FAILURE TO KEEP RECORDS VIOLATION"
"1473","320.3211(2)","M","2","PUBLIC ORDER CRIMES VIOLATE RECREATIONAL VEHICLE L"
"1474","320.38","M","2","VEHICLE REGISTRATION/NON-RESIDENT EXEMPTION VIOL"
"1475","320.38","T","0","VEHICLE REGISTRATION/NON-RESIDENT EXEMPTION VIOL"
"1476","320.57(1)","M","2","TRAFFIC OFFENSE VIOL OF MOTOR VEH LIC REG NOT SPEC"
"1477","320.58","M","2","REFUSE TO SURRENDER DRIVER'S LICENSE/REGIS/TAG"
"1478","320.58","T","0","REFUSE TO SURRENDER DRIVER'S LICENSE/REGIS/TAG"
"1479","320.7","M","1","PUBLIC ORDER CRIMES MFGR/FACTORY REP VIOL MFGR DIS"
"1480","320.77","M","2","PUBLIC ORDER CRIMES NO VALID MOBILE HOME DEALERSHI"
"1481","320.771(10)","M","2","PUBLIC ORDER CRIMES REC VEH DEALER WO REQUIRED EVI"
"1482","320.771(2)","M","2","PUBLIC ORDER CRIMES RECREATIONAL VEHICLE DEALER WO"
"1483","320.771(9)","M","2","PUBLIC ORDER CRIMES RECREATIONAL VEH DEALER FAIL T"
"1484","320.781(11)","M","2","FRAUD-FALSE STATEMENT DOC MOBILE HOME/REC VEH PROT"
"1485","320.8249(7)","M","1","FRAUD-IMPERSON AS LICENSED MOBILE HOME INSTALLER"
"1486","320.831","M","1","HEALTH-SAFETY VIOL NAT MOBILE HOME CONSTR SAFE STA"
"1487","321.03","M","1","IMITATE FLORIDA HIGHWAY PATROL EQUIPMENT"
"1488","321.051","M","2","WRECKER OPERATOR/UNAUTHORIZED"
"1489","321.051(3)B","M","2","PUBLIC ORDER CRIMES UNAUTH WRECKER SOLI BUSN AT SC"
"1490","321.051(3)C","M","2","PUBLIC ORDER CRIMES FAIL TO DISCLOSE ID/UNAUTH WRE"
"1491","321.051(3)D","M","1","PUBLIC ORDER CRIMES IMPLY IDENTITY AS AUTHORIZED W"
"1492","322.03(1)","M","2","NO VALID DRIVERS LICENSE"
"1493","322.03(1)","T","0","NO VALID DRIVERS LICENSE"
"1494","322.03(1)(A)","M","1","DRIVER LICENSE/COMMER/MAKES FALSE AFFIDAVIT"
"1495","322.03(1)(A)","T","0","DRIVERS LICENSE/COMMER/FAIL TO SURREND OT/FAL AFFI"
"1496","322.03(1)(B)","M","2","DRIVERS LICENSE/MORE THAN ONE FLORIDA LICENSE"
"1497","322.03(1)(B)","T","0","DRIVERS LICENSE/MORE THAN ONE FLORIDA LICENSE"
"1498","322.03(3)(B)","M","1","DRIVER LICENSE/COMMERCIAL/FAIL TO POSSESS VALID"
"1499","322.03(3)(B)","T","0","DRIVER LICENSE/COMMERCIAL LICENSE REQUIRED"
"1500","322.03(4)","M","2","DRIVERS LICENSE/MOTORCYCLE ENDORSEMENT"
"1501","322.03(4)","T","0","DRIVERS LICENSE/MOTORCYCLE ENDORSEMENT"
"1502","322.03(5)","M","2","DRIVER LICENSE/EXPIRED > 6 MTHS/7-1-10 OR AFTER"
"1503","322.03(5)","T","0","DRIVER LICENSE/EXPIRED > 6 MTHS/7-1-10 OR AFTER"
"1504","322.031(1)","M","2","DRIVERS LIC/NON-RESIDENT REQUIREMENT VIOLATION"
"1505","322.031(1)","T","0","DRIVERS LICENSE/NON-RESIDENT REQUIREMENT VIOLATION"
"1506","322.051","M","2","IDENTIFICATION CARD VIOLATION"
"1507","322.051","T","0","IDENTIFICATION CARD/UNLAWFUL USE OF DEPT ISSUED"
"1508","322.051(6)(A)","M","2","DISPLAY OR POSSESS FALSE IDENTIFICATION CARD/VIOL"
"1509","322.051(6)(A)","T","0","DISPLAY OR POSSESS FALSE IDENTIFICATION CARD/VIOL"
"1510","322.051(6)(E)","M","2","FAIL TO COMPY W/ IDENTIFICATION CARD REQUIREMENTS"
"1511","322.051(6)(E)","T","0","FAIL TO COMPLY W/ IDENTIFICATION CARD REQUIREMENTS"
"1512","322.065","I","0","DRIVERS LICENSE/EXPIRED FOR 6 MONTHS OR LESS"
"1513","322.07","M","2","TEMPORARY PERMIT VIOL"
"1514","322.13","M","2","TRAFFIC OFFENSE FAIL SURRENDER DR LIC REGIST CERTI"
"1515","322.15","I","0","LICENSE/FAILURE TO EXHIBIT ON DEMAND"
"1516","322.15(2)","M","2","NO FINGERPRINTS ON CITATION"
"1517","322.15(2)","T","0","NO FINGERPRINTS ON CITATION"
"1518","322.16(1)(C)","M","2","VIOLATION OF DRIVER'S LICENSE RESTRICTIONS"
"1519","322.16(1)(C)","T","0","VIOLATION OF DRIVER'S LICENSE RESTRICTIONS"
"1520","322.1615(2)","T","0","VIOLATION OF LEARNER'S DRIVER'S LICENSE"
"1521","322.19","I","0","DRIVER LICENSE/CHANGE OF ADDRESS/NAME"
"1522","322.212(1)(A)","F","3","DRIVERS LICENSE/POSSESSION OF STOLEN/FICTITIOUS"
"1523","322.212(1)(B)","F","3","DRIVERS LICENSE/POSN OF INSTRUMENT IN SIMILITUDE"
"1524","322.212(1)(C)","F","3","DRIVERS LICENSE/POSN SIMILITUDE/NAME/AGE"
"1525","322.212(1)(D)","F","3","DRIVERS LICENSE/ID CARD/SELL/DEL/STOLEN/FORGED"
"1526","322.212(2)","F","3","DRIVERS LICENSE/SELL"
"1527","322.212(3)","F","3","DRIVERS LICENSE/UNLAWFUL ISSUANCE"
"1528","322.212(4)","F","3","DRIVERS LICENSE/NON COMPLIANCE"
"1529","322.212(5)","F","3","DRIVERS LICENSE APPLICATION/FALSE INFORMATION"
"1530","322.212(5)(A)","F","3","DRIVERS LICENSE APPLICATION/FALSE INFORMATION"
"1531","322.212(5)(A)","M","2","DRIVERS LICENSE APPLICATION/FALSE INFO/DOB"
"1532","322.212(5)(B)","M","2","DL OR ID/ALTERED DOB/POSSESSION"
"1533","322.212(5)(C)","F","3","DL/ID/SEXUAL OFFENDER/PREDATOR/NON-COMP/MARKINGS"
"1534","322.30","M","2","DRIVERS LICENSE/OUT-OF-STATE/USE WHILE REVOKED"
"1535","322.30","T","0","DRIVERS LICENSE/OUT-OF-STATE/USE WHILE REVOKED"
"1536","322.30(1)","M","2","DRIVE W/ OUT-OF-STATE LICENSE WHEN FLA DL SUSP/REV"
"1537","322.30(1)","T","0","DRIVE W/ OUT-OF-STATE LICENSE WHEN FLA DL SUSP/REV"
"1538","322.32(1)","M","2","DRIVERS LICENSE/POSSESSION OF SUSPENDED, ETC"
"1539","322.32(1)","T","0","DRIVERS LICENSE/POSSESSION OF SUSPENDED, ETC"
"1540","322.32(2)","M","2","DRIVERS LICENSE/LEND TO ANOTHER PERSON"
"1541","322.32(2)","T","0","DRIVERS LICENSE/LEND TO ANOTHER PERSON"
"1542","322.32(3)","M","2","DRIVERS LICENSE/FALSE DISPLAY"
"1543","322.32(3)","T","0","DRIVERS LICENSE/FALSE DISPLAY"
"1544","322.32(4)","M","2","DRIVERS LICENSE/FAIL TO SURRENDER"
"1545","322.32(4)","T","0","DRIVERS LICENSE/FAIL TO SURRENDER"
"1546","322.32(5)","M","2","DRIVERS LICENSE/PERMIT UNLAWFUL USE"
"1547","322.32(5)","T","0","DRIVERS LICENSE/PERMIT UNLAWFUL USE"
"1548","322.32(6)","M","2","DRIVERS LICENSE/UNLAWFUL USE OF TWO W/ DIFF NAMES"
"1549","322.32(6)","T","0","DRIVERS LICENSE/UNLAWFUL USE OF TWO NAMES"
"1550","322.32(7)","M","2","DRIVERS LICENSE/UNLAWFUL USE"
"1551","322.32(7)","T","0","DRIVERS LICENSE/UNLAWFUL USE"
"1552","322.33","F","2","DRIVERS LICENSE/FALSE AFFIDAVIT, PERJURY"
"1553","322.33","F","3","DRIVERS LICENSE/FALSE AFFIDAVIT, PERJURY"
"1554","322.33","T","0","DRIVERS LICENSE/FALSE AFFIDAVIT, PERJURY"
"1555","322.33","M","2","DRIVERS LICENSE/FALSE AFFIDAVIT, PERJURY"
"1556","322.34(1)","I","0","DWLS/NO KNOWLEDGE"
"1557","322.34(10)(A)","M","2","DWLS-NO PRIOR FELONY"
"1558","322.34(10)(A)","T","0","DWLS-NO PRIOR FELONY"
"1559","322.34(10)(B)1","M","2","DRIVE WHILE LICENSE SUSPENDED/FINANCIAL SUSPENSION"
"1560","322.34(10)(B)1","T","0","DRIVE WHILE LICENSE SUSPENDED/FINANCIAL SUSPENSION"
"1561","322.34(10)(B)2","M","1","DRIVE WHILE LICENSE SUSP/FINANCIAL SUSP/SUBSE VIOL"
"1562","322.34(10)(B)2","T","0","DRIVE WHILE LICENSE SUSP/FINANCIAL SUSP/SUBSE VIOL"
"1563","322.34(2)","M","2","DRIVING WHILE LICENSE SUSPENDED/WITH KNOWLEDGE"
"1564","322.34(2)","T","0","DRIVING WHILE LICENSE SUSPENDED/WITH KNOWLEDGE"
"1565","322.34(2)(A)","M","2","DRIVING/LICENSE SUSPENDED/KNOWINGLY/1ST OFFENSE"
"1566","322.34(2)(A)","T","0","DRIVING WHILE LICENSE SUSPENDED/KNOWINGLY"
"1567","322.34(2)(B)","M","1","DRIVING/LICENSE SUSPENDED/KNOWINGLY/2ND OFFENSE"
"1568","322.34(2)(B)","T","0","DRIVING/LICENSE SUSPENDED/KNOWINGLY/2ND OFFENSE"
"1569","322.34(2)(C)","F","3","DRIVING WHILE LICENSE SUSPENDED/3RD&SUBS OFFENSE"
"1570","322.34(5)","F","3","DRIVING WHILE LICENSE SUSPENDED/HABITUAL"
"1571","322.34(6)","F","3","DRIVING W/O LIC/WHILE LIC SUSP/DEATH, BODILY INJUR"
"1572","322.34(7)","T","0","DWLS/COMMERCIAL VEHICLE"
"1573","322.34(7)(B)","F","3","DRIVE COMMERCIAL VEH WHILE LIC SUSP/2ND & SUBS CON"
"1574","322.341","F","3","DRIVER LICENSE/DRIVING WHILE PERMANENTLY REVOKED"
"1575","322.35","M","2","VEHICLE/ALLOW MINOR TO DRIVE"
"1576","322.35","T","0","VEHICLE/ALLOW MINOR TO DRIVE"
"1577","322.36","M","2","VEHICLE/PERMIT UNAUTHORIZED OPERATOR TO DRIVE"
